,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price,wheel-base_lim,horsepower_lim,diff_horsepower_lim,diff_price,engine-size_decil
70,nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,181,160,18399,99.2,160.0,56.554192938926334,5155.120603015075,9
33,nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,181,152,13499,100.4,152.0,48.554192938926334,255.12060301507518,9
61,nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,181,160,17199,91.3,160.0,56.554192938926334,3955.120603015075,9
32,nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,181,152,13499,100.4,152.0,48.554192938926334,255.12060301507518,9
76,nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,181,200,19699,91.3,200.0,96.55419293892633,6455.120603015075,9
87,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,183,123,28248,110.0,123.0,19.554192938926334,15004.120603015075,10
89,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,183,123,31600,115.6,123.0,19.554192938926334,18356.120603015075,10
85,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,183,123,25552,110.0,123.0,19.554192938926334,12308.120603015075,10
86,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,183,123,28176,106.7,123.0,19.554192938926334,14932.120603015075,10
91,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,194,207,32528,89.5,207.0,103.55419293892633,19284.120603015075,10
92,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,194,207,34028,89.5,207.0,103.55419293892633,20784.120603015075,10
98,porsche,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,194,207,37028,89.5,207.0,103.55419293892633,23784.120603015075,10
88,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,209,182,30760,103.5,182.0,78.55419293892633,17516.120603015075,10
100,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,209,182,41315,103.5,182.0,78.55419293892633,28071.120603015075,10
97,bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,209,182,36880,110.0,182.0,78.55419293892633,23636.120603015075,10
93,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,234,155,34184,115.6,155.0,51.554192938926334,20940.120603015075,10
94,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,234,155,35056,96.6,155.0,51.554192938926334,21812.120603015075,10
95,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,258,176,35550,113.0,176.0,72.55419293892633,22306.120603015075,10
90,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,258,176,32250,113.0,176.0,72.55419293892633,19006.120603015075,10
101,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,304,184,45400,112.0,184.0,80.55419293892633,32156.120603015075,10
99,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,308,184,40960,116.99837271469673,184.0,80.55419293892633,27716.120603015075,10
96,jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,326,262,36000,102.0,215.7156051536601,112.26979809258644,22756.120603015075,10
